Player\Dealer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,226,192,244,113,99,101,98,75,52
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,215,175,248,130,111,96,85,72,72
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,193,151,241,127,89,107,69,55,47
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,253,237,308,195,146,117,114,68,58
21,0,0,0,0,1,5,11,9,18,15,22,23,44,55,35,38,42,131,116,143,199,69,56,38,40,36,25
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,103,77,134,40,45,49,45,41,25
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,84,94,110,31,51,40,50,22,24
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,76,76,103,36,35,27,32,30,15
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,64,68,80,37,30,36,27,27,22
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,44,59,83,19,27,35,24,13,19
