Player\Dealer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,875,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1143,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1441,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1729,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2160,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4512,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4497,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4142,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3985,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3614,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21144,20097,19257,26361,13885,10640,9468,8174,6979,5709
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20480,19613,18574,25126,13163,10183,9044,7934,6720,5413
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19255,18915,17893,24049,12582,9592,8711,7534,6401,5148
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25966,25252,24156,32462,18452,13095,11695,10080,8656,7233
21,0,0,0,0,264,535,918,1122,1331,1671,1956,2269,4541,4487,4311,3925,3513,13784,13524,12346,17980,7501,5257,4762,4021,3592,2808
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10525,10204,9652,13198,5186,5271,4639,4161,3522,2802
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9601,8806,8684,11739,4715,4646,4129,3717,3080,2586
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8214,7856,7616,10090,4179,4114,3750,3203,2686,2143
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7010,6661,6431,8435,3489,3466,3121,2677,2219,1859
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5742,5678,5223,7031,2874,2797,2464,2245,1892,1545
