player_total,dealer_total,result,count,percentage
4,21,Win,291,0.0291
5,21,Win,590,0.059000000000000004
6,21,Win,877,0.0877
7,21,Win,1107,0.11069999999999999
8,21,Win,1433,0.1433
9,21,Win,1712,0.1712
10,21,Win,1953,0.1953
11,21,Win,2286,0.22859999999999997
12,21,Win,4566,0.45659999999999995
13,21,Win,4361,0.43610000000000004
14,21,Win,4444,0.4444
15,21,Win,4007,0.4007
16,21,Win,3739,0.3739
17,17,Push,21163,2.1163000000000003
17,18,Win,20238,2.0238
17,19,Win,19504,1.9504000000000001
17,20,Win,26569,2.6569
17,21,Win,14101,1.4101000000000001
17,22,Loss,10840,1.084
17,23,Loss,9419,0.9419000000000001
17,24,Loss,8207,0.8207000000000001
17,25,Loss,7072,0.7072
17,26,Loss,5735,0.5735
18,17,Loss,20213,2.0212999999999997
18,18,Push,19554,1.9553999999999998
18,19,Win,18745,1.8745
18,20,Win,24801,2.4801
18,21,Win,13223,1.3223
18,22,Loss,10030,1.0030000000000001
18,23,Loss,8925,0.8925000000000001
18,24,Loss,7781,0.7781
18,25,Loss,6736,0.6736
18,26,Loss,5502,0.5502
19,17,Loss,19549,1.9549
19,18,Loss,18362,1.8362
19,19,Push,17929,1.7929
19,20,Win,23990,2.399
19,21,Win,12515,1.2515
19,22,Loss,9510,0.951
19,23,Loss,8771,0.8770999999999999
19,24,Loss,7537,0.7537
19,25,Loss,6418,0.6418
19,26,Loss,5240,0.524
20,17,Loss,26115,2.6115
20,18,Loss,25001,2.5000999999999998
20,19,Loss,24103,2.4103
20,20,Push,32488,3.2488
20,21,Win,18165,1.8165
20,22,Loss,13247,1.3247
20,23,Loss,11622,1.1622000000000001
20,24,Loss,10250,1.0250000000000001
20,25,Loss,8608,0.8607999999999999
20,26,Loss,7094,0.7093999999999999
21,4,Loss,294,0.0294
21,5,Loss,538,0.053799999999999994
21,6,Loss,872,0.0872
21,7,Loss,1119,0.1119
21,8,Loss,1404,0.1404
21,9,Loss,1738,0.1738
21,10,Loss,1905,0.1905
21,11,Loss,2311,0.2311
21,12,Loss,4560,0.45599999999999996
21,13,Loss,4626,0.4626
21,14,Loss,4167,0.41669999999999996
21,15,Loss,3981,0.3981
21,16,Loss,3708,0.3708
21,17,Loss,14017,1.4017
21,18,Loss,13190,1.319
21,19,Loss,12520,1.252
21,20,Loss,17961,1.7961
21,21,Push,7482,0.7482
21,22,Loss,5188,0.5188
21,23,Loss,4622,0.4622
21,24,Loss,3980,0.398
21,25,Loss,3525,0.3525
21,26,Loss,2844,0.28440000000000004
22,17,Win,10578,1.0578
22,18,Win,10021,1.0021
22,19,Win,9716,0.9716
22,20,Win,13114,1.3114000000000001
22,21,Win,5182,0.5182
22,22,Push,5322,0.5322
22,23,Push,4703,0.4703
22,24,Push,3997,0.39969999999999994
22,25,Push,3483,0.3483
22,26,Push,2848,0.2848
23,17,Win,9339,0.9339
23,18,Win,8897,0.8897
23,19,Win,8514,0.8514
23,20,Win,11623,1.1622999999999999
23,21,Win,4658,0.4658
23,22,Push,4663,0.46629999999999994
23,23,Push,4225,0.4225
23,24,Push,3600,0.36
23,25,Push,2998,0.29979999999999996
23,26,Push,2577,0.2577
24,17,Win,8293,0.8293
24,18,Win,7850,0.7849999999999999
24,19,Win,7594,0.7594
24,20,Win,10181,1.0181
24,21,Win,4014,0.40140000000000003
24,22,Push,4005,0.40049999999999997
24,23,Push,3618,0.3618
24,24,Push,3158,0.3158
24,25,Push,2739,0.27390000000000003
24,26,Push,2223,0.22230000000000003
25,17,Win,6931,0.6930999999999999
25,18,Win,6630,0.6629999999999999
25,19,Win,6501,0.6501
25,20,Win,8598,0.8598
25,21,Win,3480,0.348
25,22,Push,3429,0.34290000000000004
25,23,Push,3182,0.3182
25,24,Push,2808,0.2808
25,25,Push,2278,0.2278
25,26,Push,1825,0.1825
26,17,Win,5665,0.5665
26,18,Win,5445,0.5445
26,19,Win,5365,0.5365
26,20,Win,7156,0.7156
26,21,Win,2847,0.2847
26,22,Push,2958,0.2958
26,23,Push,2568,0.2568
26,24,Push,2301,0.2301
26,25,Push,1898,0.1898
26,26,Push,1612,0.16119999999999998
