player_total,dealer_total,result,count,percentage
4,21,Push,296,0.029599999999999998
5,21,Push,544,0.0544
6,21,Push,838,0.0838
7,21,Push,1120,0.11199999999999999
8,21,Push,1458,0.1458
9,21,Push,1716,0.1716
10,21,Push,1985,0.19849999999999998
11,21,Push,2170,0.217
12,21,Push,4389,0.43889999999999996
13,21,Push,4463,0.4463
14,21,Push,4192,0.4192
15,21,Push,3955,0.3955
16,21,Push,3645,0.3645
17,17,Push,21179,2.1179
17,18,Loss,20440,2.044
17,19,Loss,19569,1.9568999999999999
17,20,Loss,25980,2.598
17,21,Loss,10530,1.053
17,21,Push,3327,0.3327
17,22,Win,10512,1.0512000000000001
17,23,Win,9302,0.9301999999999999
17,24,Win,8187,0.8187
17,25,Win,6944,0.6944
17,26,Win,5630,0.563
18,17,Win,19974,1.9973999999999998
18,18,Push,19145,1.9144999999999999
18,19,Loss,18619,1.8619
18,20,Loss,25132,2.5132000000000003
18,21,Loss,10134,1.0134
18,21,Push,3174,0.3174
18,22,Win,9992,0.9991999999999999
18,23,Win,8967,0.8966999999999999
18,24,Win,7987,0.7987
18,25,Win,6717,0.6717
18,26,Win,5352,0.5352
19,17,Win,19410,1.941
19,18,Win,18525,1.8525
19,19,Push,17607,1.7607000000000002
19,20,Loss,24188,2.4188
19,21,Loss,10032,1.0031999999999999
19,21,Push,2805,0.2805
19,22,Win,9696,0.9696
19,23,Win,8373,0.8373
19,24,Win,7435,0.7434999999999999
19,25,Win,6420,0.642
19,26,Win,5279,0.5279
20,17,Win,25953,2.5953
20,18,Win,24944,2.4944
20,19,Win,24289,2.4289
20,20,Push,32646,3.2646
20,21,Loss,13197,1.3197
20,21,Push,5059,0.5059
20,22,Win,12998,1.2997999999999998
20,23,Win,11802,1.1802
20,24,Win,10193,1.0193
20,25,Win,8774,0.8774000000000001
20,26,Win,7016,0.7016
21,4,Push,293,0.029300000000000003
21,5,Push,595,0.059500000000000004
21,6,Push,855,0.08549999999999999
21,7,Push,1107,0.11069999999999999
21,8,Push,1434,0.1434
21,9,Push,1642,0.1642
21,10,Push,1970,0.197
21,11,Push,2226,0.22260000000000002
21,12,Push,4471,0.4471
21,13,Push,4511,0.4511
21,14,Push,4178,0.4178
21,15,Push,3894,0.38939999999999997
21,16,Push,3623,0.3623
21,17,Push,3334,0.33340000000000003
21,17,Win,10574,1.0574
21,18,Push,3061,0.3061
21,18,Win,10129,1.0129000000000001
21,19,Push,2764,0.2764
21,19,Win,9756,0.9756
21,20,Push,5010,0.501
21,20,Win,13389,1.3389
21,21,Push,7482,0.7482
21,22,Win,5291,0.5291
21,23,Win,4713,0.4713
21,24,Win,4050,0.40499999999999997
21,25,Win,3409,0.34090000000000004
21,26,Win,2765,0.2765
22,17,Loss,10528,1.0528
22,18,Loss,10142,1.0142
22,19,Loss,9828,0.9828
22,20,Loss,12877,1.2877
22,21,Loss,5183,0.5183
22,22,Push,5194,0.5194
22,23,Push,4746,0.4746
22,24,Push,4051,0.4051
22,25,Push,3484,0.3484
22,26,Push,2892,0.2892
23,17,Loss,9405,0.9405
23,18,Loss,9089,0.9089
23,19,Loss,8635,0.8635
23,20,Loss,11920,1.192
23,21,Loss,4747,0.4747
23,22,Push,4660,0.466
23,23,Push,4099,0.40990000000000004
23,24,Push,3659,0.3659
23,25,Push,3260,0.326
23,26,Push,2555,0.2555
24,17,Loss,8262,0.8262
24,18,Loss,7969,0.7969
24,19,Loss,7488,0.7488
24,20,Loss,10117,1.0116999999999998
24,21,Loss,4103,0.4103
24,22,Push,4159,0.41590000000000005
24,23,Push,3614,0.3614
24,24,Push,3323,0.3323
24,25,Push,2720,0.272
24,26,Push,2267,0.22669999999999998
25,17,Loss,7007,0.7007
25,18,Loss,6806,0.6806000000000001
25,19,Loss,6588,0.6588
25,20,Loss,8858,0.8857999999999999
25,21,Loss,3592,0.3592
25,22,Push,3538,0.3538
25,23,Push,3155,0.3155
25,24,Push,2822,0.2822
25,25,Push,2233,0.22330000000000003
25,26,Push,1935,0.1935
26,17,Loss,5692,0.5692
26,18,Loss,5457,0.5457
26,19,Loss,5362,0.5362
26,20,Loss,7255,0.7255
26,21,Loss,2913,0.2913
26,22,Push,2934,0.2934
26,23,Push,2529,0.2529
26,24,Push,2229,0.22290000000000001
26,25,Push,1803,0.1803
26,26,Push,1585,0.1585
