Player\Dealer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555,497,543,507,903,457,370,348,260,239
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562,551,518,484,908,415,377,317,266,233
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525,532,471,444,894,401,402,272,271,194
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543,507,432,433,765,389,337,306,234,209
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,423,404,395,797,350,357,279,235,182
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1888,1819,1715,2508,1121,834,727,703,546,473
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1731,1791,1596,2303,1205,835,722,620,565,429
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1791,1568,1554,2212,1004,771,705,610,543,398
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2331,2288,2180,3077,1623,1106,1012,905,788,640
21,0,0,0,0,22,56,82,104,132,180,194,228,449,444,390,404,387,1117,1092,1006,1689,567,367,282,299,233,210
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,665,622,624,996,210,247,222,162,176,134
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605,571,587,853,195,204,182,192,154,126
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535,520,495,805,163,186,185,127,122,117
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,455,419,708,143,144,157,122,120,95
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,351,358,559,113,140,120,107,82,75
