player_total,dealer_total,result,count,percentage
4,21,Loss,3,0.03
5,21,Loss,3,0.03
6,21,Loss,12,0.12
7,21,Loss,14,0.13999999999999999
8,21,Loss,9,0.09
9,21,Loss,22,0.22
10,21,Loss,13,0.13
11,21,Loss,20,0.2
12,21,Loss,44,0.44
13,21,Loss,45,0.44999999999999996
14,21,Loss,46,0.45999999999999996
15,21,Loss,44,0.44
16,21,Loss,23,0.22999999999999998
17,17,Push,182,1.82
17,18,Loss,207,2.07
17,19,Loss,184,1.8399999999999999
17,20,Loss,245,2.45
17,21,Loss,112,1.1199999999999999
17,22,Win,124,1.24
17,23,Win,111,1.11
17,24,Win,83,0.83
17,25,Win,72,0.72
17,26,Win,54,0.54
18,17,Win,214,2.1399999999999997
18,18,Push,191,1.91
18,19,Loss,196,1.96
18,20,Loss,246,2.46
18,21,Loss,158,1.58
18,22,Win,96,0.96
18,23,Win,97,0.97
18,24,Win,55,0.5499999999999999
18,25,Win,64,0.64
18,26,Win,53,0.53
19,17,Win,178,1.78
19,18,Win,186,1.8599999999999999
19,19,Push,176,1.76
19,20,Loss,244,2.44
19,21,Loss,123,1.23
19,22,Win,106,1.06
19,23,Win,89,0.89
19,24,Win,79,0.79
19,25,Win,65,0.65
19,26,Win,55,0.5499999999999999
20,17,Win,256,2.56
20,18,Win,252,2.52
20,19,Win,242,2.42
20,20,Push,314,3.1399999999999997
20,21,Loss,179,1.79
20,22,Win,143,1.43
20,23,Win,135,1.35
20,24,Win,117,1.17
20,25,Win,92,0.9199999999999999
20,26,Win,88,0.88
21,4,Win,1,0.01
21,5,Win,11,0.11
21,6,Win,10,0.1
21,7,Win,11,0.11
21,8,Win,12,0.12
21,9,Win,15,0.15
21,10,Win,23,0.22999999999999998
21,11,Win,22,0.22
21,12,Win,49,0.49
21,13,Win,41,0.41000000000000003
21,14,Win,49,0.49
21,15,Win,39,0.38999999999999996
21,16,Win,32,0.32
21,17,Win,147,1.47
21,18,Win,137,1.37
21,19,Win,105,1.05
21,20,Win,185,1.8499999999999999
21,21,Push,82,0.8200000000000001
21,22,Win,52,0.52
21,23,Win,48,0.48
21,24,Win,39,0.38999999999999996
21,25,Win,31,0.31
21,26,Win,20,0.2
22,17,Loss,108,1.08
22,18,Loss,107,1.0699999999999998
22,19,Loss,113,1.13
22,20,Loss,137,1.37
22,21,Loss,57,0.5700000000000001
22,22,Push,49,0.49
22,23,Push,38,0.38
22,24,Push,39,0.38999999999999996
22,25,Push,53,0.53
22,26,Push,22,0.22
23,17,Loss,95,0.95
23,18,Loss,114,1.1400000000000001
23,19,Loss,80,0.8
23,20,Loss,128,1.28
23,21,Loss,47,0.47000000000000003
23,22,Push,61,0.61
23,23,Push,33,0.33
23,24,Push,33,0.33
23,25,Push,28,0.27999999999999997
23,26,Push,28,0.27999999999999997
24,17,Loss,68,0.6799999999999999
24,18,Loss,75,0.75
24,19,Loss,65,0.65
24,20,Loss,88,0.88
24,21,Loss,39,0.38999999999999996
24,22,Push,34,0.33999999999999997
24,23,Push,40,0.4
24,24,Push,34,0.33999999999999997
24,25,Push,29,0.29
24,26,Push,21,0.21
25,17,Loss,64,0.64
25,18,Loss,74,0.74
25,19,Loss,62,0.62
25,20,Loss,86,0.86
25,21,Loss,37,0.37
25,22,Push,24,0.24
25,23,Push,37,0.37
25,24,Push,32,0.32
25,25,Push,28,0.27999999999999997
25,26,Push,14,0.13999999999999999
26,17,Loss,52,0.52
26,18,Loss,50,0.5
26,19,Loss,45,0.44999999999999996
26,20,Loss,58,0.58
26,21,Loss,31,0.31
26,22,Push,42,0.42
26,23,Push,27,0.27
26,24,Push,20,0.2
26,25,Push,19,0.19
26,26,Push,13,0.13
