Player\Dealer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,207,201,266,147,103,100,81,69,57
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,193,196,251,130,108,101,67,87,44
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,172,197,242,138,96,86,89,72,60
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,274,227,330,183,131,101,91,95,63
21,0,0,0,0,8,2,8,9,12,15,17,23,49,41,47,38,31,146,118,135,189,75,43,51,32,33,29
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,111,109,123,47,56,47,46,38,28
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,88,75,87,55,40,52,38,34,24
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,88,82,98,42,45,44,33,19,24
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,67,66,84,36,25,22,23,27,24
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,56,41,63,36,23,26,23,19,15
