Player\Dealer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,586,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,842,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1383,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1661,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2210,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4567,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4592,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4273,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3902,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3649,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21177,20360,19473,26221,13961,10597,9398,8235,6941,5673
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20379,19855,18849,25274,13385,9984,9151,7987,6569,5446
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19152,18614,17936,23919,12456,9607,8588,7511,6419,5304
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26390,25230,23946,32573,18304,12959,11550,10157,8612,6958
21,0,0,0,0,274,542,839,1079,1438,1654,1999,2237,4466,4448,4205,4012,3612,13919,13360,12332,18173,7495,5125,4793,4226,3516,2843
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10564,10027,9501,12686,5181,5138,4736,4100,3552,2778
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9443,9192,8460,11734,4751,4807,4230,3637,3134,2589
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8220,7829,7496,10317,4104,4054,3724,3147,2759,2163
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6946,6713,6459,8709,3472,3595,3107,2648,2297,1901
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5664,5641,5097,7061,2862,2831,2510,2152,1898,1537
