player_total,dealer_total,result,count,percentage
4,21,Win,21,0.021
5,21,Win,61,0.061
6,21,Win,94,0.094
7,21,Win,107,0.107
8,21,Win,153,0.153
9,21,Win,171,0.17099999999999999
10,21,Win,210,0.21
11,21,Win,229,0.22899999999999998
12,17,Win,555,0.555
12,18,Win,497,0.49699999999999994
12,19,Win,543,0.543
12,20,Win,507,0.507
12,21,Win,903,0.903
12,22,Loss,457,0.457
12,23,Loss,370,0.37
12,24,Loss,348,0.348
12,25,Loss,260,0.26
12,26,Loss,239,0.23900000000000002
13,17,Win,562,0.562
13,18,Win,551,0.551
13,19,Win,518,0.518
13,20,Win,484,0.484
13,21,Win,908,0.9079999999999999
13,22,Loss,415,0.415
13,23,Loss,377,0.377
13,24,Loss,317,0.317
13,25,Loss,266,0.266
13,26,Loss,233,0.233
14,17,Win,525,0.525
14,18,Win,532,0.532
14,19,Win,471,0.471
14,20,Win,444,0.44400000000000006
14,21,Win,894,0.894
14,22,Loss,401,0.40099999999999997
14,23,Loss,402,0.402
14,24,Loss,272,0.272
14,25,Loss,271,0.271
14,26,Loss,194,0.194
15,17,Win,543,0.543
15,18,Win,507,0.507
15,19,Win,432,0.432
15,20,Win,433,0.43299999999999994
15,21,Win,765,0.765
15,22,Loss,389,0.38899999999999996
15,23,Loss,337,0.337
15,24,Loss,306,0.306
15,25,Loss,234,0.234
15,26,Loss,209,0.209
16,17,Win,464,0.464
16,18,Win,423,0.42300000000000004
16,19,Win,404,0.404
16,20,Win,395,0.395
16,21,Win,797,0.7969999999999999
16,22,Loss,350,0.35000000000000003
16,23,Loss,357,0.357
16,24,Loss,279,0.27899999999999997
16,25,Loss,235,0.23500000000000001
16,26,Loss,182,0.182
17,17,Push,1888,1.8880000000000001
17,18,Win,1819,1.8190000000000002
17,19,Win,1715,1.7149999999999999
17,20,Win,2508,2.508
17,21,Win,1121,1.121
17,22,Loss,834,0.8340000000000001
17,23,Loss,727,0.7270000000000001
17,24,Loss,703,0.703
17,25,Loss,546,0.5459999999999999
17,26,Loss,473,0.473
18,17,Loss,1731,1.7309999999999999
18,18,Push,1791,1.791
18,19,Win,1596,1.5959999999999999
18,20,Win,2303,2.303
18,21,Win,1205,1.205
18,22,Loss,835,0.835
18,23,Loss,722,0.722
18,24,Loss,620,0.62
18,25,Loss,565,0.565
18,26,Loss,429,0.42900000000000005
19,17,Loss,1791,1.791
19,18,Loss,1568,1.568
19,19,Push,1554,1.554
19,20,Win,2212,2.212
19,21,Win,1004,1.004
19,22,Loss,771,0.771
19,23,Loss,705,0.705
19,24,Loss,610,0.61
19,25,Loss,543,0.543
19,26,Loss,398,0.398
20,17,Loss,2331,2.331
20,18,Loss,2288,2.2880000000000003
20,19,Loss,2180,2.18
20,20,Push,3077,3.077
20,21,Win,1623,1.6230000000000002
20,22,Loss,1106,1.106
20,23,Loss,1012,1.012
20,24,Loss,905,0.905
20,25,Loss,788,0.788
20,26,Loss,640,0.64
21,4,Loss,22,0.022000000000000002
21,5,Loss,56,0.055999999999999994
21,6,Loss,82,0.082
21,7,Loss,104,0.104
21,8,Loss,132,0.132
21,9,Loss,180,0.18
21,10,Loss,194,0.194
21,11,Loss,228,0.22799999999999998
21,12,Loss,449,0.449
21,13,Loss,444,0.44400000000000006
21,14,Loss,390,0.38999999999999996
21,15,Loss,404,0.404
21,16,Loss,387,0.387
21,17,Loss,1117,1.117
21,18,Loss,1092,1.0919999999999999
21,19,Loss,1006,1.006
21,20,Loss,1689,1.6889999999999998
21,21,Push,567,0.567
21,22,Loss,367,0.367
21,23,Loss,282,0.28200000000000003
21,24,Loss,299,0.299
21,25,Loss,233,0.233
21,26,Loss,210,0.21
22,17,Win,665,0.6649999999999999
22,18,Win,622,0.622
22,19,Win,624,0.624
22,20,Win,996,0.996
22,21,Win,210,0.21
22,22,Push,247,0.247
22,23,Push,222,0.22200000000000003
22,24,Push,162,0.16199999999999998
22,25,Push,176,0.17600000000000002
22,26,Push,134,0.134
23,17,Win,605,0.605
23,18,Win,571,0.571
23,19,Win,587,0.587
23,20,Win,853,0.853
23,21,Win,195,0.19499999999999998
23,22,Push,204,0.20400000000000001
23,23,Push,182,0.182
23,24,Push,192,0.192
23,25,Push,154,0.154
23,26,Push,126,0.126
24,17,Win,535,0.5349999999999999
24,18,Win,520,0.52
24,19,Win,495,0.49500000000000005
24,20,Win,805,0.8049999999999999
24,21,Win,163,0.163
24,22,Push,186,0.186
24,23,Push,185,0.185
24,24,Push,127,0.127
24,25,Push,122,0.122
24,26,Push,117,0.117
25,17,Win,411,0.411
25,18,Win,455,0.455
25,19,Win,419,0.41900000000000004
25,20,Win,708,0.7080000000000001
25,21,Win,143,0.14300000000000002
25,22,Push,144,0.14400000000000002
25,23,Push,157,0.157
25,24,Push,122,0.122
25,25,Push,120,0.12
25,26,Push,95,0.095
26,17,Win,365,0.365
26,18,Win,351,0.35100000000000003
26,19,Win,358,0.358
26,20,Win,559,0.559
26,21,Win,113,0.11299999999999999
26,22,Push,140,0.13999999999999999
26,23,Push,120,0.12
26,24,Push,107,0.107
26,25,Push,82,0.082
26,26,Push,75,0.075
