Player\Dealer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,184,186,241,120,93,101,71,70,52
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,213,169,257,142,102,90,93,80,43
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,177,171,223,117,115,77,91,73,62
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,276,244,300,170,112,108,106,82,75
21,0,0,0,0,2,9,8,11,11,12,20,22,42,43,46,43,36,119,123,121,198,82,55,62,49,40,34
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,101,101,141,43,51,42,41,35,24
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,69,71,131,49,46,49,36,39,24
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,81,63,96,38,33,36,29,19,22
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,85,51,91,32,49,36,32,25,11
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,50,50,81,31,29,29,27,15,16
