Player\Dealer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,197,192,294,111,123,102,72,62,54
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,218,201,254,138,113,121,83,67,62
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,207,160,222,111,93,63,74,64,55
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,236,263,346,183,137,117,108,84,71
21,0,0,0,0,0,6,9,12,23,21,15,19,39,49,52,45,31,149,123,105,175,70,57,49,36,40,19
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,94,86,131,59,52,48,51,36,21
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,103,97,121,49,43,38,41,25,25
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,80,79,85,39,58,36,29,22,21
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,66,71,90,31,25,25,31,24,18
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,56,42,68,27,21,21,18,16,11
