Hand Value\Card Count,4,5,6,7,8,9,11
17,10,8,6,3,1,0,0
18,4,5,6,4,1,0,0
19,0,6,1,4,0,0,0
20,9,14,5,0,0,0,0
21,0,0,0,2,0,0,0
bust,0,0,29,26,15,3,1
blackjack,2,0,0,0,0,0,0
