player_total,dealer_total,result,count,percentage
4,21,Win,329,0.0329
5,21,Win,561,0.0561
6,21,Win,887,0.0887
7,21,Win,1170,0.117
8,21,Win,1366,0.1366
9,21,Win,1692,0.1692
10,21,Win,1967,0.19669999999999999
11,21,Win,2264,0.2264
12,21,Win,4564,0.45640000000000003
13,21,Win,4462,0.4462
14,21,Win,4260,0.426
15,21,Win,3860,0.386
16,21,Win,3686,0.3686
17,17,Push,20967,2.0967
17,18,Win,19920,1.992
17,19,Win,19132,1.9132
17,20,Win,26268,2.6268
17,21,Win,13981,1.3981000000000001
17,22,Loss,10500,1.05
17,23,Loss,9402,0.9402
17,24,Loss,8036,0.8036
17,25,Loss,7206,0.7206
17,26,Loss,5666,0.5666
18,17,Loss,20220,2.022
18,18,Push,19602,1.9602000000000002
18,19,Win,18771,1.8771
18,20,Win,25124,2.5124
18,21,Win,13090,1.309
18,22,Loss,10244,1.0244
18,23,Loss,9101,0.9101
18,24,Loss,7808,0.7807999999999999
18,25,Loss,6793,0.6793
18,26,Loss,5540,0.5539999999999999
19,17,Loss,19406,1.9405999999999999
19,18,Loss,18531,1.8531
19,19,Push,17918,1.7918
19,20,Win,23915,2.3914999999999997
19,21,Win,12218,1.2218
19,22,Loss,9702,0.9702000000000001
19,23,Loss,8689,0.8689
19,24,Loss,7477,0.7477
19,25,Loss,6464,0.6464
19,26,Loss,5283,0.5283
20,17,Loss,26007,2.6007
20,18,Loss,25381,2.5381
20,19,Loss,24034,2.4034
20,20,Push,32361,3.2361
20,21,Win,18146,1.8146
20,22,Loss,13115,1.3114999999999999
20,23,Loss,11573,1.1573
20,24,Loss,10083,1.0083
20,25,Loss,8587,0.8586999999999999
20,26,Loss,7311,0.7311
21,4,Loss,302,0.0302
21,5,Loss,570,0.056999999999999995
21,6,Loss,888,0.0888
21,7,Loss,1155,0.1155
21,8,Loss,1374,0.1374
21,9,Loss,1673,0.1673
21,10,Loss,1892,0.1892
21,11,Loss,2256,0.22560000000000002
21,12,Loss,4540,0.45399999999999996
21,13,Loss,4503,0.45030000000000003
21,14,Loss,4203,0.4203
21,15,Loss,3824,0.3824
21,16,Loss,3638,0.3638
21,17,Loss,13816,1.3816
21,18,Loss,13244,1.3244
21,19,Loss,12598,1.2598
21,20,Loss,18148,1.8148000000000002
21,21,Push,7375,0.7374999999999999
21,22,Loss,5332,0.5332
21,23,Loss,4765,0.47650000000000003
21,24,Loss,4074,0.40740000000000004
21,25,Loss,3502,0.3502
21,26,Loss,2881,0.28809999999999997
22,17,Win,10543,1.0543
22,18,Win,10320,1.032
22,19,Win,9695,0.9695
22,20,Win,13065,1.3065
22,21,Win,5211,0.5211
22,22,Push,5299,0.5299
22,23,Push,4759,0.47590000000000005
22,24,Push,4109,0.4109
22,25,Push,3466,0.34659999999999996
22,26,Push,2949,0.2949
23,17,Win,9284,0.9284000000000001
23,18,Win,9008,0.9008
23,19,Win,8829,0.8829
23,20,Win,11544,1.1544
23,21,Win,4655,0.4655
23,22,Push,4788,0.47879999999999995
23,23,Push,4263,0.4263
23,24,Push,3641,0.36410000000000003
23,25,Push,3118,0.3118
23,26,Push,2567,0.2567
24,17,Win,8221,0.8220999999999999
24,18,Win,7924,0.7924
24,19,Win,7663,0.7663
24,20,Win,10317,1.0317
24,21,Win,4054,0.40540000000000004
24,22,Push,4074,0.40740000000000004
24,23,Push,3639,0.3639
24,24,Push,3137,0.3137
24,25,Push,2785,0.2785
24,26,Push,2277,0.22769999999999999
25,17,Win,7019,0.7019
25,18,Win,6733,0.6733
25,19,Win,6442,0.6442
25,20,Win,8892,0.8892000000000001
25,21,Win,3418,0.3418
25,22,Push,3491,0.3491
25,23,Push,3153,0.3153
25,24,Push,2643,0.2643
25,25,Push,2310,0.231
25,26,Push,1884,0.1884
26,17,Win,5670,0.567
26,18,Win,5504,0.5504
26,19,Win,5337,0.5337
26,20,Win,7184,0.7184
26,21,Win,2821,0.2821
26,22,Push,2886,0.2886
26,23,Push,2541,0.2541
26,24,Push,2187,0.2187
26,25,Push,1922,0.1922
26,26,Push,1566,0.1566
