Player\Dealer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,215,185,274,173,108,105,77,67,56
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,201,208,256,142,107,86,82,63,59
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,191,156,219,116,104,93,85,72,51
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,265,233,315,197,137,113,102,83,67
21,0,0,0,0,3,4,4,12,11,19,21,24,50,43,32,39,40,130,121,114,177,76,42,46,50,34,31
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,87,97,145,41,53,46,44,42,32
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,91,81,119,36,51,47,33,32,33
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,68,72,106,31,50,47,22,20,23
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,63,56,99,28,40,41,21,21,13
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,59,43,71,24,33,22,20,25,19
