player_total,dealer_total,result,count,percentage
4,21,Push,270,0.027
5,21,Push,539,0.053899999999999997
6,21,Push,810,0.08099999999999999
7,21,Push,1088,0.1088
8,21,Push,1383,0.13829999999999998
9,21,Push,1695,0.16949999999999998
10,21,Push,1876,0.18760000000000002
11,21,Push,2292,0.22920000000000001
12,21,Push,4442,0.4442
13,21,Push,4484,0.4484
14,21,Push,4170,0.41700000000000004
15,21,Push,3922,0.3922
16,21,Push,3519,0.3519
17,17,Push,21271,2.1271
17,18,Loss,20564,2.0564
17,19,Loss,19667,1.9667000000000001
17,20,Loss,26283,2.6283000000000003
17,21,Loss,10608,1.0608
17,21,Push,3316,0.3316
17,22,Win,10665,1.0665
17,23,Win,9337,0.9337
17,24,Win,8158,0.8158000000000001
17,25,Win,7032,0.7032
17,26,Win,5738,0.5738
18,17,Win,20308,2.0308
18,18,Push,19428,1.9428
18,19,Loss,18598,1.8598
18,20,Loss,25046,2.5046
18,21,Loss,10135,1.0135
18,21,Push,2986,0.2986
18,22,Win,10224,1.0224
18,23,Win,8947,0.8947
18,24,Win,7908,0.7908000000000001
18,25,Win,6697,0.6697
18,26,Win,5544,0.5544
19,17,Win,19463,1.9463000000000001
19,18,Win,18633,1.8633
19,19,Push,18035,1.8034999999999999
19,20,Loss,24202,2.4202000000000004
19,21,Loss,9714,0.9714
19,21,Push,2746,0.2746
19,22,Win,9782,0.9782000000000001
19,23,Win,8612,0.8612
19,24,Win,7517,0.7517
19,25,Win,6537,0.6537000000000001
19,26,Win,5259,0.5259
20,17,Win,26168,2.6168
20,18,Win,24841,2.4840999999999998
20,19,Win,24240,2.424
20,20,Push,32470,3.247
20,21,Loss,13104,1.3104
20,21,Push,4956,0.49560000000000004
20,22,Win,13172,1.3172
20,23,Win,11593,1.1593
20,24,Win,10233,1.0233
20,25,Win,8630,0.8630000000000001
20,26,Win,7199,0.7199
21,4,Push,288,0.0288
21,5,Push,528,0.05280000000000001
21,6,Push,818,0.0818
21,7,Push,1089,0.1089
21,8,Push,1389,0.1389
21,9,Push,1688,0.1688
21,10,Push,1895,0.1895
21,11,Push,2137,0.2137
21,12,Push,4566,0.45659999999999995
21,13,Push,4474,0.44739999999999996
21,14,Push,4238,0.42379999999999995
21,15,Push,3883,0.38830000000000003
21,16,Push,3597,0.3597
21,17,Push,3307,0.3307
21,17,Win,10569,1.0569
21,18,Push,2968,0.2968
21,18,Win,10224,1.0224
21,19,Push,2818,0.2818
21,19,Win,9683,0.9683
21,20,Push,5099,0.5099
21,20,Win,13120,1.312
21,21,Push,7409,0.7409
21,22,Win,5186,0.5186
21,23,Win,4654,0.46540000000000004
21,24,Win,4028,0.40280000000000005
21,25,Win,3460,0.346
21,26,Win,2839,0.2839
22,17,Loss,10633,1.0633
22,18,Loss,10033,1.0033
22,19,Loss,9603,0.9603
22,20,Loss,13133,1.3133000000000001
22,21,Loss,5311,0.5311
22,22,Push,5273,0.5273
22,23,Push,4762,0.47619999999999996
22,24,Push,4192,0.4192
22,25,Push,3521,0.35209999999999997
22,26,Push,2845,0.2845
23,17,Loss,9487,0.9487000000000001
23,18,Loss,9019,0.9018999999999999
23,19,Loss,8692,0.8692
23,20,Loss,11445,1.1445
23,21,Loss,4678,0.4678
23,22,Push,4800,0.48
23,23,Push,4216,0.42160000000000003
23,24,Push,3592,0.3592
23,25,Push,3100,0.31
23,26,Push,2505,0.2505
24,17,Loss,8243,0.8243
24,18,Loss,7914,0.7913999999999999
24,19,Loss,7584,0.7584
24,20,Loss,10114,1.0114
24,21,Loss,4137,0.4137
24,22,Push,4144,0.4144
24,23,Push,3568,0.3568
24,24,Push,3133,0.31329999999999997
24,25,Push,2654,0.2654
24,26,Push,2238,0.2238
25,17,Loss,6918,0.6918
25,18,Loss,6741,0.6740999999999999
25,19,Loss,6344,0.6344
25,20,Loss,8798,0.8798
25,21,Loss,3566,0.35660000000000003
25,22,Push,3501,0.3501
25,23,Push,3122,0.31220000000000003
25,24,Push,2738,0.2738
25,25,Push,2379,0.2379
25,26,Push,1898,0.1898
26,17,Loss,5644,0.5644
26,18,Loss,5662,0.5662
26,19,Loss,5270,0.527
26,20,Loss,7046,0.7046
26,21,Loss,2847,0.2847
26,22,Push,2776,0.27759999999999996
26,23,Push,2517,0.25170000000000003
26,24,Push,2264,0.2264
26,25,Push,1870,0.187
26,26,Push,1520,0.152
