Hand Value\Card Count,4,5,6,7,8,9
17,3,7,5,1,0,1
18,6,9,6,2,0,0
19,5,7,5,1,1,0
20,7,10,5,2,0,0
21,0,0,1,1,2,2
bust,0,0,30,26,12,5
blackjack,2,0,0,0,0,0
