Player\Dealer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1058,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1713,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2291,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4496,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4485,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4290,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3972,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3664,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20664,20245,19457,25966,14015,10472,9473,8258,6943,5675
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20415,19460,18594,24830,13236,10025,8860,7929,6653,5579
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19151,18733,17813,24008,12542,9737,8795,7659,6464,5317
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26132,25135,24084,32533,18198,13241,11537,10035,8649,7127
21,0,0,0,0,292,571,851,1103,1358,1665,2010,2263,4501,4526,4251,3913,3750,14042,13354,12712,17982,7584,5271,4658,4105,3504,2913
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10523,9950,9786,13038,5267,5310,4768,4145,3453,2869
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9443,9075,8543,11642,4819,4490,4173,3690,3078,2551
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8160,7768,7661,10190,4143,4105,3735,3152,2786,2216
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6963,6737,6453,8736,3627,3534,3103,2717,2362,1947
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5714,5299,5254,7189,2878,2839,2576,2163,1910,1519
