player_total,dealer_total,result,count,percentage
17,17,Push,171,1.71
17,18,Win,207,2.07
17,19,Win,157,1.5699999999999998
17,20,Win,237,2.37
17,21,Win,146,1.46
17,22,Loss,88,0.88
17,23,Loss,71,0.7100000000000001
17,24,Loss,91,0.91
17,25,Loss,70,0.7000000000000001
17,26,Loss,60,0.6
18,17,Loss,202,2.02
18,18,Push,215,2.15
18,19,Win,182,1.82
18,20,Win,280,2.8000000000000003
18,21,Win,147,1.47
18,22,Loss,102,1.02
18,23,Loss,91,0.91
18,24,Loss,81,0.8099999999999999
18,25,Loss,71,0.7100000000000001
18,26,Loss,47,0.47000000000000003
19,17,Loss,180,1.7999999999999998
19,18,Loss,195,1.95
19,19,Push,180,1.7999999999999998
19,20,Win,241,2.41
19,21,Win,153,1.53
19,22,Loss,99,0.9900000000000001
19,23,Loss,92,0.9199999999999999
19,24,Loss,85,0.8500000000000001
19,25,Loss,62,0.62
19,26,Loss,53,0.53
20,17,Loss,271,2.71
20,18,Loss,220,2.1999999999999997
20,19,Loss,251,2.5100000000000002
20,20,Push,326,3.26
20,21,Win,222,2.22
20,22,Loss,137,1.37
20,23,Loss,120,1.2
20,24,Loss,114,1.1400000000000001
20,25,Loss,79,0.79
20,26,Loss,65,0.65
21,17,Loss,178,1.78
21,18,Loss,174,1.7399999999999998
21,19,Loss,149,1.49
21,20,Loss,224,2.2399999999999998
21,21,Push,138,1.38
21,22,Loss,78,0.7799999999999999
21,23,Loss,84,0.84
21,24,Loss,64,0.64
21,25,Loss,58,0.58
21,26,Loss,50,0.5
22,17,Win,126,1.26
22,18,Win,110,1.0999999999999999
22,19,Win,108,1.08
22,20,Win,153,1.53
22,21,Win,102,1.02
22,22,Push,58,0.58
22,23,Push,46,0.45999999999999996
22,24,Push,46,0.45999999999999996
22,25,Push,35,0.35000000000000003
22,26,Push,26,0.26
23,17,Win,88,0.88
23,18,Win,98,0.98
23,19,Win,91,0.91
23,20,Win,130,1.3
23,21,Win,81,0.8099999999999999
23,22,Push,50,0.5
23,23,Push,44,0.44
23,24,Push,39,0.38999999999999996
23,25,Push,19,0.19
23,26,Push,25,0.25
24,17,Win,76,0.76
24,18,Win,69,0.69
24,19,Win,75,0.75
24,20,Win,105,1.05
24,21,Win,92,0.9199999999999999
24,22,Push,53,0.53
24,23,Push,34,0.33999999999999997
24,24,Push,29,0.29
24,25,Push,21,0.21
24,26,Push,34,0.33999999999999997
25,17,Win,68,0.6799999999999999
25,18,Win,56,0.5599999999999999
25,19,Win,65,0.65
25,20,Win,86,0.86
25,21,Win,68,0.6799999999999999
25,22,Push,27,0.27
25,23,Push,28,0.27999999999999997
25,24,Push,32,0.32
25,25,Push,26,0.26
25,26,Push,28,0.27999999999999997
26,17,Win,49,0.49
26,18,Win,50,0.5
26,19,Win,51,0.51
26,20,Win,69,0.69
26,21,Win,54,0.54
26,22,Push,32,0.32
26,23,Push,30,0.3
26,24,Push,23,0.22999999999999998
26,25,Push,23,0.22999999999999998
26,26,Push,14,0.13999999999999999
