Player\Dealer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,194,180,230,167,99,86,80,75,56
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,187,207,233,135,102,92,69,67,64
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,192,205,253,132,107,81,83,63,49
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,248,257,306,194,122,112,95,90,84
21,0,0,0,0,3,3,10,6,11,15,20,21,42,45,39,38,34,133,127,138,193,60,49,42,34,35,28
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,116,97,127,49,58,39,40,29,32
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,78,84,127,44,40,30,36,26,22
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,73,55,105,34,35,37,34,19,22
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,59,77,87,41,37,36,34,28,15
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,58,56,76,26,34,20,28,12,14
