Hand Value\Card Count,4,5,6,7,8,9,10
17,48,76,56,23,6,1,0
18,42,97,63,22,6,3,0
19,28,67,58,18,5,1,0
20,112,101,66,25,2,1,0
21,0,0,27,19,4,2,0
blackjack,15,0,0,0,0,0,0
bust,0,0,309,308,117,41,13
