Player\Dealer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,27,31,32,16,17,7,7,11,2
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,23,15,31,16,8,6,6,4,4
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,25,19,26,11,8,8,7,11,6
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,17,30,24,15,16,11,19,11,2
21,0,0,0,0,1,0,1,1,3,0,3,5,2,5,2,3,2,11,8,17,25,8,5,2,3,4,3
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,6,8,3,6,1,4,3,5
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,9,15,8,4,3,2,1,1
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,4,12,2,7,1,2,5,2
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,3,14,2,2,3,5,5,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,10,2,1,3,3,3,1
