Hand Value\Card Count,4,5,6,7,8,9,10,11
17,43,73,56,16,6,0,0,0
18,31,83,50,16,5,2,0,0
19,36,81,56,24,5,3,0,0
20,109,96,63,27,7,3,1,0
21,0,0,24,13,5,0,0,0
blackjack,18,0,0,0,0,0,0,0
bust,0,0,290,283,136,41,6,1
