Hand Value\Card Count,4,5,6,7,8,9,10,11,12+
17,3418,6305,4956,2274,729,137,18,7,1
18,4188,7179,5293,2371,773,147,24,3,0
19,3502,6564,5157,2346,677,160,22,6,1
20,10904,11328,6800,2683,792,162,34,6,0
21,0,0,2846,1918,680,160,25,6,0
bust,0,0,29708,31126,15396,4572,950,133,20
blackjack,2067,0,0,0,0,0,0,0,0
