player_total,dealer_total,result,count,percentage
4,21,Loss,4,0.04
5,21,Loss,6,0.06
6,21,Loss,5,0.05
7,21,Loss,9,0.09
8,21,Loss,18,0.18
9,21,Loss,11,0.11
10,21,Loss,20,0.2
11,21,Loss,19,0.19
12,21,Loss,50,0.5
13,21,Loss,51,0.51
14,21,Loss,39,0.38999999999999996
15,21,Loss,43,0.43
16,21,Loss,33,0.33
17,17,Push,189,1.8900000000000001
17,18,Loss,202,2.02
17,19,Loss,175,1.7500000000000002
17,20,Loss,252,2.52
17,21,Loss,147,1.47
17,22,Win,117,1.17
17,23,Win,91,0.91
17,24,Win,76,0.76
17,25,Win,59,0.59
17,26,Win,52,0.52
18,17,Win,204,2.04
18,18,Push,169,1.69
18,19,Loss,199,1.9900000000000002
18,20,Loss,250,2.5
18,21,Loss,135,1.35
18,22,Win,107,1.0699999999999998
18,23,Win,75,0.75
18,24,Win,86,0.86
18,25,Win,62,0.62
18,26,Win,50,0.5
19,17,Win,198,1.9800000000000002
19,18,Win,193,1.9300000000000002
19,19,Push,170,1.7000000000000002
19,20,Loss,244,2.44
19,21,Loss,124,1.24
19,22,Win,101,1.01
19,23,Win,93,0.9299999999999999
19,24,Win,88,0.88
19,25,Win,74,0.74
19,26,Win,43,0.43
20,17,Win,234,2.34
20,18,Win,241,2.41
20,19,Win,256,2.56
20,20,Push,337,3.37
20,21,Loss,189,1.8900000000000001
20,22,Win,134,1.34
20,23,Win,116,1.16
20,24,Win,115,1.15
20,25,Win,96,0.96
20,26,Win,75,0.75
21,4,Win,2,0.02
21,5,Win,4,0.04
21,6,Win,8,0.08
21,7,Win,7,0.06999999999999999
21,8,Win,18,0.18
21,9,Win,21,0.21
21,10,Win,21,0.21
21,11,Win,32,0.32
21,12,Win,55,0.5499999999999999
21,13,Win,52,0.52
21,14,Win,38,0.38
21,15,Win,38,0.38
21,16,Win,25,0.25
21,17,Win,150,1.5
21,18,Win,135,1.35
21,19,Win,129,1.29
21,20,Win,165,1.6500000000000001
21,21,Push,82,0.8200000000000001
21,22,Win,50,0.5
21,23,Win,47,0.47000000000000003
21,24,Win,43,0.43
21,25,Win,29,0.29
21,26,Win,38,0.38
22,17,Loss,123,1.23
22,18,Loss,99,0.9900000000000001
22,19,Loss,91,0.91
22,20,Loss,144,1.44
22,21,Loss,59,0.59
22,22,Push,54,0.54
22,23,Push,36,0.36
22,24,Push,36,0.36
22,25,Push,33,0.33
22,26,Push,24,0.24
23,17,Loss,92,0.9199999999999999
23,18,Loss,92,0.9199999999999999
23,19,Loss,82,0.8200000000000001
23,20,Loss,126,1.26
23,21,Loss,40,0.4
23,22,Push,56,0.5599999999999999
23,23,Push,44,0.44
23,24,Push,42,0.42
23,25,Push,42,0.42
23,26,Push,20,0.2
24,17,Loss,73,0.73
24,18,Loss,79,0.79
24,19,Loss,84,0.84
24,20,Loss,83,0.83
24,21,Loss,51,0.51
24,22,Push,40,0.4
24,23,Push,37,0.37
24,24,Push,25,0.25
24,25,Push,19,0.19
24,26,Push,23,0.22999999999999998
25,17,Loss,71,0.7100000000000001
25,18,Loss,80,0.8
25,19,Loss,72,0.72
25,20,Loss,80,0.8
25,21,Loss,33,0.33
25,22,Push,36,0.36
25,23,Push,41,0.41000000000000003
25,24,Push,21,0.21
25,25,Push,21,0.21
25,26,Push,11,0.11
26,17,Loss,62,0.62
26,18,Loss,58,0.58
26,19,Loss,43,0.43
26,20,Loss,75,0.75
26,21,Loss,37,0.37
26,22,Push,21,0.21
26,23,Push,18,0.18
26,24,Push,19,0.19
26,25,Push,23,0.22999999999999998
26,26,Push,14,0.13999999999999999
