Player\Dealer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,830,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1109,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1416,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1649,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2287,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4481,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4524,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4142,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3945,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3610,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20603,20381,19470,26307,14141,10629,9303,8244,6910,5759
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20094,19608,18755,25136,13155,10115,9059,7969,6736,5449
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19386,18565,17780,24205,12543,9753,8578,7491,6454,5308
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26021,25005,24051,32292,18262,13083,11715,10170,8558,7050
21,0,0,0,0,264,495,825,1117,1412,1710,1923,2170,4492,4450,4077,3918,3572,13793,13267,12819,18117,7581,5184,4748,4042,3493,2813
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10715,10237,9722,13084,5249,5320,4627,4161,3525,2862
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9414,9035,8611,11545,4660,4613,4186,3725,3122,2589
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8302,7707,7663,10511,4210,4122,3632,3247,2763,2252
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7025,6615,6482,8748,3538,3477,3112,2593,2295,1846
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5730,5454,5243,7032,2970,2895,2505,2358,1924,1545
