player_total,dealer_total,result,count,percentage
17,17,Push,231,2.31
17,18,Win,203,2.03
17,19,Win,189,1.8900000000000001
17,20,Win,272,2.7199999999999998
17,21,Win,179,1.79
17,22,Loss,102,1.02
17,23,Loss,105,1.05
17,24,Loss,89,0.89
17,25,Loss,63,0.63
17,26,Loss,53,0.53
18,17,Loss,238,2.3800000000000003
18,18,Push,191,1.91
18,19,Win,170,1.7000000000000002
18,20,Win,225,2.25
18,21,Win,181,1.81
18,22,Loss,109,1.09
18,23,Loss,92,0.9199999999999999
18,24,Loss,67,0.67
18,25,Loss,63,0.63
18,26,Loss,66,0.66
19,17,Loss,185,1.8499999999999999
19,18,Loss,211,2.11
19,19,Push,166,1.66
19,20,Win,245,2.45
19,21,Win,173,1.73
19,22,Loss,87,0.8699999999999999
19,23,Loss,88,0.88
19,24,Loss,81,0.8099999999999999
19,25,Loss,60,0.6
19,26,Loss,63,0.63
20,17,Loss,265,2.65
20,18,Loss,224,2.2399999999999998
20,19,Loss,229,2.29
20,20,Push,342,3.42
20,21,Win,219,2.19
20,22,Loss,120,1.2
20,23,Loss,126,1.26
20,24,Loss,92,0.9199999999999999
20,25,Loss,74,0.74
20,26,Loss,64,0.64
21,17,Loss,146,1.46
21,18,Loss,172,1.72
21,19,Loss,169,1.69
21,20,Loss,212,2.12
21,21,Push,134,1.34
21,22,Loss,75,0.75
21,23,Loss,78,0.7799999999999999
21,24,Loss,65,0.65
21,25,Loss,67,0.67
21,26,Loss,54,0.54
22,17,Win,118,1.18
22,18,Win,101,1.01
22,19,Win,87,0.8699999999999999
22,20,Win,123,1.23
22,21,Win,88,0.88
22,22,Push,40,0.4
22,23,Push,49,0.49
22,24,Push,51,0.51
22,25,Push,30,0.3
22,26,Push,19,0.19
23,17,Win,106,1.06
23,18,Win,89,0.89
23,19,Win,73,0.73
23,20,Win,117,1.17
23,21,Win,80,0.8
23,22,Push,43,0.43
23,23,Push,42,0.42
23,24,Push,42,0.42
23,25,Push,34,0.33999999999999997
23,26,Push,26,0.26
24,17,Win,96,0.96
24,18,Win,80,0.8
24,19,Win,82,0.8200000000000001
24,20,Win,97,0.97
24,21,Win,59,0.59
24,22,Push,34,0.33999999999999997
24,23,Push,44,0.44
24,24,Push,37,0.37
24,25,Push,35,0.35000000000000003
24,26,Push,17,0.16999999999999998
25,17,Win,65,0.65
25,18,Win,70,0.7000000000000001
25,19,Win,65,0.65
25,20,Win,94,0.9400000000000001
25,21,Win,45,0.44999999999999996
25,22,Push,32,0.32
25,23,Push,27,0.27
25,24,Push,29,0.29
25,25,Push,21,0.21
25,26,Push,23,0.22999999999999998
26,17,Win,41,0.41000000000000003
26,18,Win,68,0.6799999999999999
26,19,Win,47,0.47000000000000003
26,20,Win,78,0.7799999999999999
26,21,Win,55,0.5499999999999999
26,22,Push,35,0.35000000000000003
26,23,Push,32,0.32
26,24,Push,25,0.25
26,25,Push,23,0.22999999999999998
26,26,Push,12,0.12
