Hand Value\Card Count,4,5,6,7,8,9,10,11
17,50,72,55,21,6,2,0,0
18,39,73,58,18,4,3,0,0
19,35,67,53,27,4,1,0,0
20,118,107,57,25,6,1,1,0
21,0,0,31,20,8,0,0,0
bust,0,0,312,319,163,35,6,2
blackjack,23,0,0,0,0,0,0,0
