Player\Dealer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,882,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1375,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1621,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1948,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2189,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4420,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4463,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4223,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3967,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3652,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21487,20085,19612,26191,13859,10583,9505,8369,6871,5668
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20251,19461,18704,24852,13142,10262,9124,7920,6527,5507
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19452,18516,17833,24128,12557,9702,8840,7675,6413,5319
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26219,24977,23910,32429,18281,12978,11604,10100,8533,7196
21,0,0,0,0,282,557,861,1148,1360,1631,1946,2183,4478,4441,4250,3769,3652,13947,13061,12474,18151,7583,5401,4702,4041,3363,2891
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10588,10140,9708,12960,5163,5292,4652,4132,3611,2830
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9689,9184,8664,11638,4658,4674,4256,3685,3038,2568
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8301,7878,7745,10032,4128,3979,3637,3279,2795,2269
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6885,6721,6476,8756,3461,3486,3224,2676,2275,1929
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5694,5496,5182,6993,2882,2878,2589,2187,1872,1585
