Player\Dealer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,179,178,254,137,92,88,86,61,45
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,186,171,280,116,112,93,95,57,45
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,183,173,239,132,95,89,69,52,61
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,237,243,330,193,123,101,105,77,62
21,0,0,0,0,6,8,8,15,10,11,24,25,42,47,43,40,38,160,123,118,198,80,49,50,39,42,31
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,135,100,124,54,63,55,47,36,25
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,92,86,120,55,58,48,41,37,21
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,85,78,102,34,58,34,31,29,18
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,53,74,70,43,50,34,19,16,20
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,52,50,77,27,32,26,34,18,15
