player_total,dealer_total,result,count,percentage
4,21,Win,261,0.0261
5,21,Win,542,0.0542
6,21,Win,799,0.0799
7,21,Win,1128,0.11280000000000001
8,21,Win,1400,0.13999999999999999
9,21,Win,1655,0.1655
10,21,Win,1891,0.18910000000000002
11,21,Win,2158,0.21580000000000002
12,21,Win,4445,0.4445
13,21,Win,4348,0.4348
14,21,Win,4149,0.4149
15,21,Win,3762,0.37620000000000003
16,21,Win,3615,0.36150000000000004
17,17,Push,20723,2.0723
17,18,Win,20145,2.0145
17,19,Win,19301,1.9301
17,20,Win,26163,2.6163
17,21,Win,13750,1.375
17,22,Loss,10351,1.0351000000000001
17,23,Loss,9489,0.9489
17,24,Loss,8101,0.8101
17,25,Loss,6950,0.695
17,26,Loss,5692,0.5692
18,17,Loss,20304,2.0303999999999998
18,18,Push,19373,1.9373
18,19,Win,18361,1.8360999999999998
18,20,Win,25129,2.5128999999999997
18,21,Win,13049,1.3049
18,22,Loss,10145,1.0145
18,23,Loss,8998,0.8998
18,24,Loss,7972,0.7972
18,25,Loss,6743,0.6743
18,26,Loss,5666,0.5666
19,17,Loss,19302,1.9302
19,18,Loss,18713,1.8713
19,19,Push,17940,1.794
19,20,Win,24283,2.4283
19,21,Win,12713,1.2713
19,22,Loss,9728,0.9728000000000001
19,23,Loss,8593,0.8593
19,24,Loss,7531,0.7531
19,25,Loss,6526,0.6526
19,26,Loss,5290,0.529
20,17,Loss,26178,2.6178
20,18,Loss,24981,2.4981
20,19,Loss,24106,2.4106
20,20,Push,32644,3.2643999999999997
20,21,Win,17945,1.7945
20,22,Loss,13307,1.3307
20,23,Loss,11653,1.1653
20,24,Loss,10243,1.0243
20,25,Loss,8641,0.8641
20,26,Loss,7074,0.7074
21,4,Loss,279,0.0279
21,5,Loss,566,0.0566
21,6,Loss,826,0.0826
21,7,Loss,1103,0.11030000000000001
21,8,Loss,1359,0.1359
21,9,Loss,1728,0.17279999999999998
21,10,Loss,1943,0.1943
21,11,Loss,2169,0.21689999999999998
21,12,Loss,4474,0.44739999999999996
21,13,Loss,4544,0.4544
21,14,Loss,4063,0.4063
21,15,Loss,3913,0.3913
21,16,Loss,3609,0.3609
21,17,Loss,13858,1.3858000000000001
21,18,Loss,13207,1.3207
21,19,Loss,12619,1.2619
21,20,Loss,18493,1.8493
21,21,Push,7579,0.7579
21,22,Loss,5284,0.5284
21,23,Loss,4863,0.4863
21,24,Loss,4061,0.4061
21,25,Loss,3506,0.3506
21,26,Loss,2850,0.28500000000000003
22,17,Win,10465,1.0465
22,18,Win,10193,1.0193
22,19,Win,9747,0.9747
22,20,Win,13162,1.3162
22,21,Win,5307,0.5307000000000001
22,22,Push,5240,0.524
22,23,Push,4756,0.47559999999999997
22,24,Push,4175,0.4175
22,25,Push,3404,0.3404
22,26,Push,2858,0.2858
23,17,Win,9581,0.9581
23,18,Win,8995,0.8995
23,19,Win,8675,0.8675
23,20,Win,11674,1.1674
23,21,Win,4846,0.4846
23,22,Push,4809,0.4809
23,23,Push,4304,0.43039999999999995
23,24,Push,3528,0.3528
23,25,Push,3069,0.3069
23,26,Push,2561,0.2561
24,17,Win,8187,0.8187
24,18,Win,7936,0.7936000000000001
24,19,Win,7706,0.7706000000000001
24,20,Win,10283,1.0283
24,21,Win,4027,0.4027
24,22,Push,4101,0.41009999999999996
24,23,Push,3668,0.36679999999999996
24,24,Push,3247,0.3247
24,25,Push,2663,0.2663
24,26,Push,2269,0.22690000000000002
25,17,Win,7091,0.7091000000000001
25,18,Win,6832,0.6832
25,19,Win,6520,0.652
25,20,Win,8636,0.8635999999999999
25,21,Win,3655,0.3655
25,22,Push,3520,0.35200000000000004
25,23,Push,3115,0.3115
25,24,Push,2882,0.2882
25,25,Push,2303,0.2303
25,26,Push,1795,0.1795
26,17,Win,5559,0.5559
26,18,Win,5372,0.5372
26,19,Win,5226,0.5226
26,20,Win,7196,0.7196
26,21,Win,2814,0.2814
26,22,Push,2937,0.2937
26,23,Push,2521,0.2521
26,24,Push,2267,0.22669999999999998
26,25,Push,1940,0.194
26,26,Push,1538,0.15380000000000002
