player_total,dealer_total,result,count,percentage
4,21,Win,301,0.0301
5,21,Win,563,0.0563
6,21,Win,846,0.0846
7,21,Win,1105,0.11050000000000001
8,21,Win,1417,0.14170000000000002
9,21,Win,1646,0.1646
10,21,Win,1947,0.19469999999999998
11,21,Win,2294,0.2294
12,21,Win,4393,0.4393
13,21,Win,4555,0.4555
14,21,Win,4262,0.4262
15,21,Win,3897,0.3897
16,21,Win,3770,0.377
17,17,Push,21293,2.1292999999999997
17,18,Win,20409,2.0409
17,19,Win,19267,1.9266999999999999
17,20,Win,26417,2.6417
17,21,Win,14093,1.4093
17,22,Loss,10369,1.0369
17,23,Loss,9435,0.9435000000000001
17,24,Loss,8197,0.8197
17,25,Loss,7017,0.7017
17,26,Loss,5744,0.5744
18,17,Loss,20192,2.0192
18,18,Push,19466,1.9466
18,19,Win,18329,1.8329000000000002
18,20,Win,25192,2.5192
18,21,Win,13155,1.3155000000000001
18,22,Loss,9910,0.991
18,23,Loss,9018,0.9018
18,24,Loss,7714,0.7714000000000001
18,25,Loss,6728,0.6728
18,26,Loss,5565,0.5565
19,17,Loss,19540,1.9539999999999997
19,18,Loss,18193,1.8193000000000001
19,19,Push,17761,1.7761
19,20,Win,24108,2.4108
19,21,Win,12285,1.2285000000000001
19,22,Loss,9706,0.9705999999999999
19,23,Loss,8738,0.8737999999999999
19,24,Loss,7470,0.747
19,25,Loss,6506,0.6506
19,26,Loss,5217,0.5217
20,17,Loss,26522,2.6522
20,18,Loss,24828,2.4828
20,19,Loss,23765,2.3765
20,20,Push,32686,3.2686
20,21,Win,18161,1.8161
20,22,Loss,13347,1.3347
20,23,Loss,11777,1.1777
20,24,Loss,10383,1.0383
20,25,Loss,8583,0.8583000000000001
20,26,Loss,7257,0.7257
21,4,Loss,296,0.029599999999999998
21,5,Loss,561,0.0561
21,6,Loss,826,0.0826
21,7,Loss,1112,0.1112
21,8,Loss,1401,0.1401
21,9,Loss,1683,0.1683
21,10,Loss,1928,0.1928
21,11,Loss,2228,0.2228
21,12,Loss,4573,0.4573
21,13,Loss,4520,0.45199999999999996
21,14,Loss,4206,0.4206
21,15,Loss,3929,0.3929
21,16,Loss,3665,0.3665
21,17,Loss,14014,1.4014
21,18,Loss,13079,1.3079
21,19,Loss,12494,1.2494
21,20,Loss,18153,1.8153
21,21,Push,7533,0.7533
21,22,Loss,5327,0.5327000000000001
21,23,Loss,4748,0.47479999999999994
21,24,Loss,4088,0.40879999999999994
21,25,Loss,3496,0.3496
21,26,Loss,2983,0.2983
22,17,Win,10348,1.0348
22,18,Win,10019,1.0019
22,19,Win,9747,0.9747
22,20,Win,13161,1.3161
22,21,Win,5204,0.5204
22,22,Push,5364,0.5364
22,23,Push,4641,0.4641
22,24,Push,4122,0.41219999999999996
22,25,Push,3370,0.337
22,26,Push,2915,0.2915
23,17,Win,9492,0.9492
23,18,Win,8911,0.8911
23,19,Win,8486,0.8486
23,20,Win,11675,1.1675
23,21,Win,4684,0.4684
23,22,Push,4739,0.4739
23,23,Push,4262,0.4262
23,24,Push,3677,0.3677
23,25,Push,3134,0.3134
23,26,Push,2566,0.2566
24,17,Win,8292,0.8292
24,18,Win,7711,0.7711
24,19,Win,7537,0.7537
24,20,Win,10193,1.0193
24,21,Win,4178,0.4178
24,22,Push,4121,0.41209999999999997
24,23,Push,3631,0.36310000000000003
24,24,Push,3246,0.3246
24,25,Push,2694,0.26940000000000003
24,26,Push,2177,0.2177
25,17,Win,6974,0.6974
25,18,Win,6711,0.6711
25,19,Win,6364,0.6364
25,20,Win,8659,0.8659
25,21,Win,3474,0.3474
25,22,Push,3494,0.3494
25,23,Push,3122,0.31220000000000003
25,24,Push,2753,0.2753
25,25,Push,2254,0.2254
25,26,Push,1882,0.1882
26,17,Win,5775,0.5775
26,18,Win,5466,0.5466000000000001
26,19,Win,5322,0.5322
26,20,Win,7225,0.7224999999999999
26,21,Win,2895,0.2895
26,22,Push,2912,0.2912
26,23,Push,2549,0.2549
26,24,Push,2250,0.22499999999999998
26,25,Push,1870,0.187
26,26,Push,1570,0.157
