Player\Dealer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,2041,1971,2672,1715,1078,1040,852,735,585
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1873,1859,1869,2512,1688,1033,932,778,705,579
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1864,1949,1789,2412,1653,1009,894,721,653,492
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2408,2617,2443,3224,2213,1316,1171,1031,915,706
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1636,1688,1657,2214,1486,845,775,692,596,458
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971,1008,962,1288,897,596,442,377,322,274
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,887,951,846,1145,783,423,452,356,307,223
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,762,744,1055,679,416,407,316,289,196
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678,716,661,912,592,365,317,267,215,181
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,567,518,717,437,329,249,239,208,138
