Player\Dealer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,49,57,49,88,49,36,44,30,22
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,57,45,50,92,41,40,29,24,22
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,65,40,57,103,46,42,23,24,20
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,43,46,31,66,44,26,29,30,23
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,49,33,31,58,40,29,33,18,12
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,192,171,252,109,60,68,71,53,48
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,193,165,262,109,71,90,71,52,47
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,174,171,203,97,69,79,58,40,58
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,246,206,302,145,120,109,105,79,61
21,0,0,0,0,1,8,7,8,12,13,16,22,44,51,43,36,42,105,112,98,145,56,42,34,33,23,15
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,75,60,91,23,27,24,19,26,6
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,60,62,89,13,23,18,13,13,13
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,45,68,77,18,15,18,12,14,11
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,35,33,74,19,17,14,14,13,13
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,35,32,57,8,14,7,13,7,5
