Hand Value\Card Count,4,5,6,7,8,9,10,11,12+
17,3464,6243,4882,2211,709,152,21,2,0
18,4230,7126,5337,2349,677,157,27,1,1
19,3420,6595,5144,2314,721,158,21,4,1
20,10904,11546,6629,2710,777,160,39,4,0
21,0,0,2768,1953,674,187,23,7,1
bust,0,0,29782,30962,15109,4567,956,151,14
blackjack,2134,0,0,0,0,0,0,0,0
