Player\Dealer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,170,204,265,139,111,87,101,75,51
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,209,195,244,122,108,89,76,81,54
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,181,167,228,133,119,89,82,44,56
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,255,263,356,171,130,109,94,91,76
21,0,0,0,0,8,4,7,13,10,16,16,27,47,49,36,47,45,138,141,130,176,91,51,43,50,45,25
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,97,119,129,57,63,43,33,31,23
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,94,86,102,44,45,42,34,32,24
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,68,80,85,32,37,44,33,30,19
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,65,72,80,36,37,27,31,19,16
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,47,45,76,21,22,30,28,24,9
