Player\Dealer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,862,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1071,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1460,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1730,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1932,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2285,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4448,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4401,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4312,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3892,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3648,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21029,20247,19291,26230,13813,10494,9410,8239,6858,5691
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20144,19445,18677,25171,13391,10141,8927,7871,6741,5447
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19085,18864,17587,23598,12496,9757,8797,7535,6401,5137
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26289,25254,24170,32729,18298,13091,11683,10210,8788,7069
21,0,0,0,0,294,561,864,1101,1486,1682,1919,2264,4367,4469,4218,3879,3523,13857,13167,12565,18259,7599,5233,4595,4130,3627,2821
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10389,10041,9729,13120,5354,5321,4724,4239,3441,2832
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9460,8963,8663,11638,4736,4728,4131,3672,3176,2569
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8345,7826,7653,10276,4142,4061,3681,3173,2740,2178
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6963,6791,6447,8662,3474,3530,3131,2734,2367,1903
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5860,5491,5346,6960,2894,2901,2481,2157,1931,1524
