player_total,dealer_total,result,count,percentage
4,21,Push,1,0.01
5,21,Push,5,0.05
6,21,Push,8,0.08
7,21,Push,7,0.06999999999999999
8,21,Push,14,0.13999999999999999
9,21,Push,13,0.13
10,21,Push,12,0.12
11,21,Push,31,0.31
12,21,Push,41,0.41000000000000003
13,21,Push,32,0.32
14,21,Push,37,0.37
15,21,Push,32,0.32
16,21,Push,39,0.38999999999999996
17,17,Push,210,2.1
17,18,Loss,220,2.1999999999999997
17,19,Loss,196,1.96
17,20,Loss,261,2.6100000000000003
17,21,Loss,113,1.13
17,21,Push,22,0.22
17,22,Win,100,1.0
17,23,Win,83,0.83
17,24,Win,80,0.8
17,25,Win,75,0.75
17,26,Win,63,0.63
18,17,Win,219,2.19
18,18,Push,186,1.8599999999999999
18,19,Loss,182,1.82
18,20,Loss,259,2.59
18,21,Loss,94,0.9400000000000001
18,21,Push,30,0.3
18,22,Win,102,1.02
18,23,Win,89,0.89
18,24,Win,68,0.6799999999999999
18,25,Win,60,0.6
18,26,Win,47,0.47000000000000003
19,17,Win,193,1.9300000000000002
19,18,Win,198,1.9800000000000002
19,19,Push,175,1.7500000000000002
19,20,Loss,238,2.3800000000000003
19,21,Loss,108,1.08
19,21,Push,38,0.38
19,22,Win,94,0.9400000000000001
19,23,Win,84,0.84
19,24,Win,80,0.8
19,25,Win,66,0.66
19,26,Win,51,0.51
20,17,Win,254,2.54
20,18,Win,250,2.5
20,19,Win,219,2.19
20,20,Push,321,3.2099999999999995
20,21,Loss,151,1.51
20,21,Push,51,0.51
20,22,Win,138,1.38
20,23,Win,123,1.23
20,24,Win,106,1.06
20,25,Win,86,0.86
20,26,Win,65,0.65
21,4,Push,2,0.02
21,5,Push,5,0.05
21,6,Push,7,0.06999999999999999
21,7,Push,13,0.13
21,8,Push,10,0.1
21,9,Push,14,0.13999999999999999
21,10,Push,25,0.25
21,11,Push,27,0.27
21,12,Push,59,0.59
21,13,Push,46,0.45999999999999996
21,14,Push,42,0.42
21,15,Push,32,0.32
21,16,Push,33,0.33
21,17,Push,42,0.42
21,17,Win,104,1.04
21,18,Push,34,0.33999999999999997
21,18,Win,101,1.01
21,19,Push,22,0.22
21,19,Win,80,0.8
21,20,Push,41,0.41000000000000003
21,20,Win,135,1.35
21,21,Push,82,0.8200000000000001
21,22,Win,56,0.5599999999999999
21,23,Win,56,0.5599999999999999
21,24,Win,42,0.42
21,25,Win,37,0.37
21,26,Win,20,0.2
22,17,Loss,104,1.04
22,18,Loss,102,1.02
22,19,Loss,98,0.98
22,20,Loss,147,1.47
22,21,Loss,66,0.66
22,22,Push,60,0.6
22,23,Push,40,0.4
22,24,Push,54,0.54
22,25,Push,37,0.37
22,26,Push,23,0.22999999999999998
23,17,Loss,94,0.9400000000000001
23,18,Loss,86,0.86
23,19,Loss,91,0.91
23,20,Loss,104,1.04
23,21,Loss,59,0.59
23,22,Push,49,0.49
23,23,Push,39,0.38999999999999996
23,24,Push,41,0.41000000000000003
23,25,Push,35,0.35000000000000003
23,26,Push,32,0.32
24,17,Loss,80,0.8
24,18,Loss,76,0.76
24,19,Loss,73,0.73
24,20,Loss,112,1.1199999999999999
24,21,Loss,29,0.29
24,22,Push,43,0.43
24,23,Push,32,0.32
24,24,Push,20,0.2
24,25,Push,23,0.22999999999999998
24,26,Push,18,0.18
25,17,Loss,79,0.79
25,18,Loss,63,0.63
25,19,Loss,67,0.67
25,20,Loss,90,0.8999999999999999
25,21,Loss,32,0.32
25,22,Push,43,0.43
25,23,Push,30,0.3
25,24,Push,31,0.31
25,25,Push,22,0.22
25,26,Push,17,0.16999999999999998
26,17,Loss,59,0.59
26,18,Loss,51,0.51
26,19,Loss,51,0.51
26,20,Loss,65,0.65
26,21,Loss,33,0.33
26,22,Push,21,0.21
26,23,Push,23,0.22999999999999998
26,24,Push,24,0.24
26,25,Push,24,0.24
26,26,Push,21,0.21
