player_total,dealer_total,result,count,percentage
4,21,Loss,4,0.04
5,21,Loss,4,0.04
6,21,Loss,15,0.15
7,21,Loss,15,0.15
8,21,Loss,15,0.15
9,21,Loss,24,0.24
10,21,Loss,13,0.13
11,21,Loss,21,0.21
12,21,Loss,45,0.44999999999999996
13,21,Loss,51,0.51
14,21,Loss,46,0.45999999999999996
15,21,Loss,30,0.3
16,21,Loss,38,0.38
17,17,Push,221,2.21
17,18,Loss,184,1.8399999999999999
17,19,Loss,211,2.11
17,20,Loss,256,2.56
17,21,Loss,139,1.39
17,22,Win,107,1.0699999999999998
17,23,Win,90,0.8999999999999999
17,24,Win,82,0.8200000000000001
17,25,Win,65,0.65
17,26,Win,63,0.63
18,17,Win,193,1.9300000000000002
18,18,Push,200,2.0
18,19,Loss,187,1.87
18,20,Loss,275,2.75
18,21,Loss,136,1.3599999999999999
18,22,Win,105,1.05
18,23,Win,97,0.97
18,24,Win,84,0.84
18,25,Win,59,0.59
18,26,Win,42,0.42
19,17,Win,189,1.8900000000000001
19,18,Win,171,1.71
19,19,Push,187,1.87
19,20,Loss,236,2.36
19,21,Loss,114,1.1400000000000001
19,22,Win,103,1.03
19,23,Win,80,0.8
19,24,Win,60,0.6
19,25,Win,71,0.7100000000000001
19,26,Win,53,0.53
20,17,Win,230,2.3
20,18,Win,226,2.26
20,19,Win,249,2.4899999999999998
20,20,Push,325,3.25
20,21,Loss,187,1.87
20,22,Win,123,1.23
20,23,Win,131,1.31
20,24,Win,113,1.13
20,25,Win,76,0.76
20,26,Win,87,0.8699999999999999
21,4,Win,3,0.03
21,5,Win,1,0.01
21,6,Win,8,0.08
21,7,Win,10,0.1
21,8,Win,13,0.13
21,9,Win,22,0.22
21,10,Win,20,0.2
21,11,Win,23,0.22999999999999998
21,12,Win,34,0.33999999999999997
21,13,Win,41,0.41000000000000003
21,14,Win,48,0.48
21,15,Win,40,0.4
21,16,Win,30,0.3
21,17,Win,126,1.26
21,18,Win,165,1.6500000000000001
21,19,Win,115,1.15
21,20,Win,197,1.97
21,21,Push,58,0.58
21,22,Win,59,0.59
21,23,Win,55,0.5499999999999999
21,24,Win,40,0.4
21,25,Win,36,0.36
21,26,Win,27,0.27
22,17,Loss,93,0.9299999999999999
22,18,Loss,92,0.9199999999999999
22,19,Loss,90,0.8999999999999999
22,20,Loss,132,1.32
22,21,Loss,55,0.5499999999999999
22,22,Push,49,0.49
22,23,Push,44,0.44
22,24,Push,58,0.58
22,25,Push,32,0.32
22,26,Push,26,0.26
23,17,Loss,105,1.05
23,18,Loss,98,0.98
23,19,Loss,88,0.88
23,20,Loss,126,1.26
23,21,Loss,50,0.5
23,22,Push,54,0.54
23,23,Push,42,0.42
23,24,Push,32,0.32
23,25,Push,32,0.32
23,26,Push,18,0.18
24,17,Loss,96,0.96
24,18,Loss,82,0.8200000000000001
24,19,Loss,65,0.65
24,20,Loss,101,1.01
24,21,Loss,45,0.44999999999999996
24,22,Push,38,0.38
24,23,Push,36,0.36
24,24,Push,30,0.3
24,25,Push,29,0.29
24,26,Push,29,0.29
25,17,Loss,78,0.7799999999999999
25,18,Loss,64,0.64
25,19,Loss,61,0.61
25,20,Loss,83,0.83
25,21,Loss,41,0.41000000000000003
25,22,Push,36,0.36
25,23,Push,26,0.26
25,24,Push,18,0.18
25,25,Push,24,0.24
25,26,Push,18,0.18
26,17,Loss,75,0.75
26,18,Loss,48,0.48
26,19,Loss,49,0.49
26,20,Loss,71,0.7100000000000001
26,21,Loss,29,0.29
26,22,Push,23,0.22999999999999998
26,23,Push,25,0.25
26,24,Push,21,0.21
26,25,Push,28,0.27999999999999997
26,26,Push,16,0.16
