player_total,dealer_total,result,count,percentage
4,21,Win,2,0.02
5,21,Win,3,0.03
6,21,Win,7,0.06999999999999999
7,21,Win,5,0.05
8,21,Win,16,0.16
9,21,Win,16,0.16
10,21,Win,23,0.22999999999999998
11,21,Win,22,0.22
12,17,Win,57,0.5700000000000001
12,18,Win,61,0.61
12,19,Win,62,0.62
12,20,Win,39,0.38999999999999996
12,21,Win,98,0.98
12,22,Loss,40,0.4
12,23,Loss,42,0.42
12,24,Loss,45,0.44999999999999996
12,25,Loss,35,0.35000000000000003
12,26,Loss,14,0.13999999999999999
13,17,Win,50,0.5
13,18,Win,53,0.53
13,19,Win,52,0.52
13,20,Win,42,0.42
13,21,Win,91,0.91
13,22,Loss,49,0.49
13,23,Loss,37,0.37
13,24,Loss,29,0.29
13,25,Loss,18,0.18
13,26,Loss,18,0.18
14,17,Win,50,0.5
14,18,Win,33,0.33
14,19,Win,48,0.48
14,20,Win,52,0.52
14,21,Win,91,0.91
14,22,Loss,39,0.38999999999999996
14,23,Loss,42,0.42
14,24,Loss,34,0.33999999999999997
14,25,Loss,30,0.3
14,26,Loss,15,0.15
15,17,Win,64,0.64
15,18,Win,36,0.36
15,19,Win,31,0.31
15,20,Win,34,0.33999999999999997
15,21,Win,73,0.73
15,22,Loss,44,0.44
15,23,Loss,45,0.44999999999999996
15,24,Loss,29,0.29
15,25,Loss,31,0.31
15,26,Loss,24,0.24
16,17,Win,49,0.49
16,18,Win,33,0.33
16,19,Win,42,0.42
16,20,Win,39,0.38999999999999996
16,21,Win,89,0.89
16,22,Loss,42,0.42
16,23,Loss,37,0.37
16,24,Loss,25,0.25
16,25,Loss,22,0.22
16,26,Loss,19,0.19
17,17,Push,205,2.0500000000000003
17,18,Win,183,1.83
17,19,Win,168,1.68
17,20,Win,232,2.32
17,21,Win,116,1.16
17,22,Loss,91,0.91
17,23,Loss,80,0.8
17,24,Loss,75,0.75
17,25,Loss,66,0.66
17,26,Loss,51,0.51
18,17,Loss,188,1.8800000000000001
18,18,Push,164,1.6400000000000001
18,19,Win,172,1.72
18,20,Win,225,2.25
18,21,Win,127,1.27
18,22,Loss,63,0.63
18,23,Loss,75,0.75
18,24,Loss,60,0.6
18,25,Loss,52,0.52
18,26,Loss,50,0.5
19,17,Loss,171,1.71
19,18,Loss,153,1.53
19,19,Push,131,1.31
19,20,Win,240,2.4
19,21,Win,98,0.98
19,22,Loss,70,0.7000000000000001
19,23,Loss,63,0.63
19,24,Loss,52,0.52
19,25,Loss,53,0.53
19,26,Loss,49,0.49
20,17,Loss,253,2.53
20,18,Loss,234,2.34
20,19,Loss,236,2.36
20,20,Push,327,3.27
20,21,Win,171,1.71
20,22,Loss,107,1.0699999999999998
20,23,Loss,96,0.96
20,24,Loss,104,1.04
20,25,Loss,81,0.8099999999999999
20,26,Loss,71,0.7100000000000001
21,4,Loss,3,0.03
21,5,Loss,9,0.09
21,6,Loss,10,0.1
21,7,Loss,11,0.11
21,8,Loss,11,0.11
21,9,Loss,12,0.12
21,10,Loss,19,0.19
21,11,Loss,22,0.22
21,12,Loss,36,0.36
21,13,Loss,49,0.49
21,14,Loss,37,0.37
21,15,Loss,50,0.5
21,16,Loss,24,0.24
21,17,Loss,124,1.24
21,18,Loss,111,1.11
21,19,Loss,93,0.9299999999999999
21,20,Loss,168,1.68
21,21,Push,55,0.5499999999999999
21,22,Loss,43,0.43
21,23,Loss,22,0.22
21,24,Loss,20,0.2
21,25,Loss,21,0.21
21,26,Loss,16,0.16
22,17,Win,58,0.58
22,18,Win,61,0.61
22,19,Win,55,0.5499999999999999
22,20,Win,80,0.8
22,21,Win,12,0.12
22,22,Push,29,0.29
22,23,Push,20,0.2
22,24,Push,19,0.19
22,25,Push,13,0.13
22,26,Push,18,0.18
23,17,Win,65,0.65
23,18,Win,63,0.63
23,19,Win,56,0.5599999999999999
23,20,Win,104,1.04
23,21,Win,16,0.16
23,22,Push,17,0.16999999999999998
23,23,Push,21,0.21
23,24,Push,19,0.19
23,25,Push,15,0.15
23,26,Push,9,0.09
24,17,Win,52,0.52
24,18,Win,43,0.43
24,19,Win,48,0.48
24,20,Win,73,0.73
24,21,Win,14,0.13999999999999999
24,22,Push,25,0.25
24,23,Push,13,0.13
24,24,Push,16,0.16
24,25,Push,17,0.16999999999999998
24,26,Push,14,0.13999999999999999
25,17,Win,45,0.44999999999999996
25,18,Win,50,0.5
25,19,Win,45,0.44999999999999996
25,20,Win,56,0.5599999999999999
25,21,Win,15,0.15
25,22,Push,13,0.13
25,23,Push,16,0.16
25,24,Push,9,0.09
25,25,Push,11,0.11
25,26,Push,14,0.13999999999999999
26,17,Win,40,0.4
26,18,Win,41,0.41000000000000003
26,19,Win,35,0.35000000000000003
26,20,Win,55,0.5499999999999999
26,21,Win,7,0.06999999999999999
26,22,Push,12,0.12
26,23,Push,12,0.12
26,24,Push,10,0.1
26,25,Push,6,0.06
26,26,Push,6,0.06
